Pico Della Mirandola	1
Otto Von Bismarck	2
Leonardo DaVinci	3
Adolf Hitler	4
Louis XIV	5
Oliver Cromwell	6
Martin Luther	7
John Calvin	8
Jean-Jacques Rousseau	9
Philip II	10
Machiavelli	11
Frederick William II	12
Peter the Great	13
Cesare Becarria	14
Adam Smith	15
Joseph Stalin	16
Benito Mussolini	17
Henry VIII	18
Margaret Thatcher	19
Simone the Beaver	20
Benedict XIII	21
Gregory XII	22
John XXIII	23
Maximilien Robespierre	24
Voltaire	25
Camillo Cavour	26
Karl Marx	27
Elizabeth I	28